"File","Line","Method","Path"
"C:\laragon\www\plnip-portal-frontend\app\dashboard\profile\page.tsx","73","PUT","/profile"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\profile\page.tsx","96","PUT","/profile"
"C:\laragon\www\plnip-portal-frontend\app\admin\profile\page.tsx","96","PUT","/profile"
"C:\laragon\www\plnip-portal-frontend\app\dashboard\profile\page.tsx","114","POST","/profile/avatar"
"C:\laragon\www\plnip-portal-frontend\app\instructor\profile\page.tsx","130","POST","/profile/avatar"
"C:\laragon\www\plnip-portal-frontend\app\admin\profile\page.tsx","136","PUT","/profile/password"
"C:\laragon\www\plnip-portal-frontend\app\dashboard\profile\page.tsx","191","PUT","/profile/password"
"C:\laragon\www\plnip-portal-frontend\app\instructor\profile\page.tsx","162","PUT","/profile/password"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\profile\page.tsx","136","PUT","/profile/password"
"C:\laragon\www\plnip-portal-frontend\contexts\AuthContext.tsx","116","POST","/register"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\announcements\page.tsx","173","GET","/superadmin/announcements"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\announcements\page.tsx","229","POST","/superadmin/announcements"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\announcements\page.tsx","174","GET","/superadmin/announcements/tracking"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\roles\page.tsx","68","GET","/superadmin/roles"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\roles\page.tsx","96","POST","/superadmin/roles"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\roles\page.tsx","69","GET","/superadmin/roles/permissions/all"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\users\page.tsx","224","POST","/superadmin/sync-erp"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\users\create\page.tsx","77","POST","/superadmin/users"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\users\create-bulk\page.tsx","113","POST","/superadmin/users/bulk"
"C:\laragon\www\plnip-portal-frontend\contexts\AuthContext.tsx","53","GET","/user"
"C:\laragon\www\plnip-portal-frontend\app\change-password-required\page.tsx","43","GET","/user"
"C:\laragon\www\plnip-portal-frontend\lib\api\users.ts","38","GET","/users"
"C:\laragon\www\plnip-portal-frontend\lib\api\users.ts","44","GET","/users/all"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\page.tsx","144","GET","/users/all"
"C:\laragon\www\plnip-portal-frontend\app\admin\page.tsx","160","GET","/users/all"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\activity-log\page.tsx","84","GET","/users/all"
